Part No.,Footprint
M0A21EB1AC,MCU_TSSOP28_4.4X9.7mm
M0A21EC1AC,MCU_TSSOP28_4.4X9.7mm
M0A21OB1AC,MCU_SSOP20_5.3X7.2mm
M0A21OC1AC,MCU_SSOP20_5.3X7.2mm
M0A23EC1AC,MCU_TSSOP28_4.4X9.7mm
M0A23OC1AC,MCU_SSOP20_5.3X7.2mm
M029GGC0AE,MCU_QFN24_3X3mm
M030GGC0AE,MCU_QFN24_3X3mm
M030GGC1AE,MCU_QFN24_3X3mm
M030GGD1AE,MCU_QFN24_3X3mm
M030GTC0AE,MCU_QFN33_4X4mm
M030GTC1AE,MCU_QFN33_4X4mm
M030GTD1AE,MCU_QFN33_4X4mm
M031GGC1AE,MCU_QFN24_3X3mm
M031GGC2AE,MCU_QFN24_3X3mm
M031GGD2AE,MCU_QFN24_3X3mm
M031GTC1AE,MCU_QFN33_4X4mm
M031GTC2AE,MCU_QFN33_4X4mm
M031GTD2AE,MCU_QFN33_4X4mm
M030FD2AE,MCU_TSSOP20_4.4X6.5mm
M030LD2AE,MCU_LQFP48_7X7mm
M030TD2AE,MCU_QFN33_4X4mm
M031EB0AE,MCU_TSSOP28_4.4X9.7mm
M031EC1AE,MCU_TSSOP28_4.4X9.7mm
M031FB0AE,MCU_TSSOP20_4.4X6.5mm
M031FC1AE,MCU_TSSOP20_4.4X6.5mm
M031LC2AE,MCU_LQFP48_7X7mm
M031LD2AE,MCU_LQFP48_7X7mm
M031LE3AE,MCU_LQFP48_7X7mm
M031SC2AE,MCU_LQFP64_7X7mm 
M031SD2AE,MCU_LQFP64_7X7mm 
M031SE3AE,MCU_LQFP64_7X7mm 
M031TB0AE,MCU_QFN33_4X4mm
M031TC1AE,MCU_QFN33_4X4mm
M031TD2AE,MCU_QFN33_4X4mm
M031KG6AE,MCU_LQFP128_14X14mm
M031KG8AE,MCU_LQFP128_14X14mm
M031KIAAE,MCU_LQFP128_14X14mm
M031LG6AE,MCU_LQFP48_7X7mm
M031LG8AE,MCU_LQFP48_7X7mm
M031SG6AE,MCU_LQFP64_7X7mm 
M031SG8AE,MCU_LQFP64_7X7mm 
M031SIAAE,MCU_LQFP64_7X7mm 
M031TE3AE,MCU_QFN33_4X4mm
M032EC1AE,MCU_TSSOP28_4.4X9.7mm
M032FC1AE,MCU_TSSOP20_4.4X6.5mm
M032KG6AE,MCU_LQFP128_14X14mm
M032KG8AE,MCU_LQFP128_14X14mm
M032KIAAE,MCU_LQFP128_14X14mm
M032LC2AE,MCU_LQFP48_7X7mm
M032LD2AE,MCU_LQFP48_7X7mm
M032LG6AE,MCU_LQFP48_7X7mm
M032LG8AE,MCU_LQFP48_7X7mm
M032SG6AE,MCU_LQFP64_7X7mm 
M032SG8AE,MCU_LQFP64_7X7mm 
M032SIAAE,MCU_LQFP64_7X7mm 
M032TC1AE,MCU_QFN33_4X4mm
M032TD2AE,MCU_QFN33_4X4mm
M032LE3AE,MCU_LQFP48_7X7mm
M032SE3AE,MCU_LQFP64_7X7mm 
M031BTYD2AN,MCU_QFN48_5X5mm 
M031BTYE3AN,MCU_QFN48_5X5mm 
M032BTAIAAN,MCU_QFN68_8X8mm 
M032BTAG8AN,MCU_QFN68_8X8mm 
M0515LDE,MCU_LQFP48_7X7mm
M0516LDE,MCU_LQFP48_7X7mm
M0516LDN,MCU_LQFP48_7X7mm
M0516ZDE,MCU_QFN33_5X5mm
M0516ZDN,MCU_QFN33_5X5mm
M0518LC2AE,MCU_LQFP48_7X7mm
M0518LD2AE,MCU_LQFP48_7X7mm
M0518SC2AE,MCU_LQFP64_7X7mm 
M0518SD2AE,MCU_LQFP64_7X7mm 
M0519LD3AE,MCU_LQFP48_7X7mm
M0519LE3AE,MCU_LQFP48_7X7mm
M0519SD3AE,MCU_LQFP64_7X7mm 
M0519SE3AE,MCU_LQFP64_7X7mm 
M0519VE3AE,MCU_LQFP100_14X14mm
M052LDE,MCU_LQFP48_7X7mm
M052LDN,MCU_LQFP48_7X7mm
M052ZDE,MCU_QFN33_5X5mm
M052ZDN,MCU_QFN33_5X5mm
M054LDE,MCU_LQFP48_7X7mm
M054LDN,MCU_LQFP48_7X7mm
M054ZDE,MCU_QFN33_5X5mm
M054ZDN,MCU_QFN33_5X5mm
M0564LE4AE,MCU_LQFP48_7X7mm
M0564LG4AE,MCU_LQFP48_7X7mm
M0564SE4AE,MCU_LQFP64_7X7mm 
M0564SG4AE,MCU_LQFP64_7X7mm 
M0564VG4AE,MCU_LQFP100_14X14mm
M058LDE,MCU_LQFP48_7X7mm
M058LDN,MCU_LQFP48_7X7mm
M058SFAN,MCU_TSSOP20_4.4X6.5mm
M058SLAN,MCU_LQFP48_7X7mm
M058SSAN,MCU_LQFP64_7X7mm 
M058SZAN,MCU_QFN33_5X5mm
M058ZDE,MCU_QFN33_4X4mm
M058ZDN,MCU_QFN33_4X4mm
M071MC2AE,MCU_LQFP44_10X10mm
M071MD2AE,MCU_LQFP44_10X10mm
M071QE4AE,MCU_LQFP80_14X14mm
M071QG4AE,MCU_LQFP80_14X14mm
M071R1D3AE,MCU_LQFP64_14X14mm
M071R1E3AE,MCU_LQFP64_14X14mm
M071SD3AE,MCU_LQFP64_7X7mm 
M071SE3AE,MCU_LQFP64_7X7mm 
M071VG4AE,MCU_LQFP100_14X14mm
M091TC2AE,MCU_QFN33_4X4mm
M091TD2AE,MCU_QFN33_4X4mm
M091YC2AE,MCU_QFN48_5X5mm
M091YD2AE,MCU_QFN48_5X5mm
MINI51FDE,MCU_TSSOP20_4.4X6.5mm
MINI51LDE,MCU_LQFP48_7X7mm
MINI51TDE,MCU_QFN33_4X4mm
MINI51ZDE,MCU_QFN33_5X5mm
MINI52FDE,MCU_TSSOP20_4.4X6.5mm
MINI52LDE,MCU_LQFP48_7X7mm
MINI52TDE,MCU_QFN33_4X4mm
MINI52ZDE,MCU_QFN33_5X5mm
MINI54FDE,MCU_TSSOP20_4.4X6.5mm
MINI54LDE,MCU_LQFP48_7X7mm
MINI54TDE,MCU_QFN33_4X4mm
MINI54ZDE,MCU_QFN33_5X5mm
MINI55LDE,MCU_LQFP48_7X7mm
MINI55TDE,MCU_QFN33_4X4mm
MINI57EDE,MCU_TSSOP28_4.4X9.7mm
MINI57FDE,MCU_TSSOP20_4.4X6.5mm
MINI57TDE,MCU_QFN33_4X4mm
MINI58FDE,MCU_TSSOP20_4.4X6.5mm
MINI58LDE,MCU_LQFP48_7X7mm
MINI58TDE,MCU_QFN33_4X4mm
MINI58ZDE,MCU_QFN33_5X5mm
NANO100KD3BN,MCU_LQFP128_14X14mm
NANO100KE3BN,MCU_LQFP128_14X14mm
NANO100LC2BN,MCU_LQFP48_7X7mm
